Features;IO-N-10;IO-N-20;IO-N-30;IO-N-40;IO-N-50;IO-N-60;IO-N-70;IO-N-80;IO-N-90;IO-N-100;IO-N-200;IO-N-300;IO-N-400;IO-N-500;IO-N-600;IO-N-700;IO-N-800;IO-N-900;IO-N-1000;IO-N-2000;IO-S1-10;IO-S1-20;IO-S1-30;IO-S1-40;IO-S1-50;IO-S1-60;IO-S1-70;IO-S1-80;IO-S1-90;IO-S1-100;IO-S1-200;IO-S1-300;IO-S1-400;IO-S1-500;IO-S1-600;IO-S1-700;IO-S1-800;IO-S1-1000;IO-S1-2000;IO-S2-10;IO-S2-20;IO-S2-30;IO-S2-40;IO-S2-50;IO-S2-60;IO-S2-70;IO-S2-80;IO-S2-90;IO-S2-100;IO-S2-200;IO-S2-300;IO-S2-400;IO-S2-500;IO-S2-600;IO-S2-700;IO-S2-800;IO-S2-900;IO-S2-1000;IO-S2-2000;IO-S3-10;IO-S3-20;IO-S3-30;IO-S3-40;IO-S3-50;IO-S3-60;IO-S3-70;IO-S3-80;IO-S3-90;IO-S3-100;IO-S3-200;IO-S3-300;IO-S3-400;IO-S3-500;IO-S3-600;IO-S3-700;IO-S3-800;IO-S3-900;IO-S3-1000;IO-S3-2000
system.cpu.exec_context.thread_0.statExecutedInstType::SimdCvt;1568;1568;1568;1568;1568;1568;1634;1634;1634;1634;1766;1832;1964;2030;2162;2228;2360;2492;2558;3620;8012;8012;8012;8012;8012;8012;8078;8078;8078;8078;8210;8276;8408;8474;8606;8672;8804;9002;10052;66008;130448;194888;259328;323768;388208;452714;517154;581594;646034;1290566;1935032;2579564;3224030;3868562;4513028;5157560;5802092;6446558;12891608;6445568;6445568;6445568;6445568;6445568;6445568;6445634;6445634;6445634;6445634;6445766;6445832;6445964;6446030;6446162;6446228;6446360;6446492;6446558;648008
system.cpu.exec_context.thread_0.statExecutedInstType::SimdMisc;201638;401638;601638;801638;1001638;1201638;1401768;1601768;1801768;2001768;4002028;6002158;8002418;10002548;12002808;14002938;16003198;18003458;20003588;110597674;216032;416032;616032;816032;1016032;1216032;1416162;1616162;1816162;2016162;4016422;6016552;8016812;10016942;12017202;14017332;16017592;20017982;40020459;345578;689518;1033458;1377398;1721338;2065278;2409348;2753288;3097228;3441168;6880828;10320358;13760018;17199548;20639208;24078738;27518398;30958058;34397588;68794065;14595638;14795638;14995638;15195638;15395638;15595638;15795768;15995768;16195768;16395768;18396028;20396158;22396418;24396548;26396808;28396938;30397198;32397458;34397588;41445437
system.cpu.exec_context.thread_0.statExecutedInstType::SimdMult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdMultAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShift;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShiftAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdDiv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSqrt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAdd;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;10071605320;11312576520;12553547720;25059150200;37516807440;50022409920;62480067160;74985669640;87443326880;99948929360;1,12455E+11;1,24912E+11;2,37519E+11;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;10071605320;11312576520;12553547720;25059150200;37516807440;50022409920;62480067160;74985669640;87443326880;99948929360;1,24912E+11;2,49776E+11;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;10071605320;11312576520;12553547720;25059150200;37516807440;50022409920;62480067160;74985669640;87443326880;99948929360;1,12455E+11;1,24912E+11;2,49776E+11;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;10071605320;11312576520;12553547720;25059150200;37516807440;50022409920;62480067160;74985669640;87443326880;99948929360;1,12455E+11;1,24912E+11;2,49776E+11
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAlu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCmp;8406240;8406240;8406240;8406240;8406240;8406240;12609360;12609360;12609360;12609360;21015600;25218720;33624960;37828080;46234320;50437440;58843680;67249920;71453040;137435232;8406240;8406240;8406240;8406240;8406240;8406240;12609360;12609360;12609360;12609360;21015600;25218720;33624960;37828080;46234320;50437440;58843680;71453040;138702960;8406240;8406240;8406240;8406240;8406240;8406240;12609360;12609360;12609360;12609360;21015600;25218720;33624960;37828080;46234320;50437440;58843680;67249920;71453040;138702960;8406240;8406240;8406240;8406240;8406240;8406240;12609360;12609360;12609360;12609360;21015600;25218720;33624960;37828080;46234320;50437440;58843680;67249920;71453040;138702960
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCvt;200026;400026;600026;800026;1000026;1200026;1400038;1600038;1800038;2000038;4000062;6000074;8000098;10000110;12000134;14000146;16000170;18000194;20000206;398;200026;400026;600026;800026;1000026;1200026;1400038;1600038;1800038;2000038;4000062;6000074;8000098;10000110;12000134;14000146;16000170;20000206;40000396;200026;400026;600026;800026;1000026;1200026;1400038;1600038;1800038;2000038;4000062;6000074;8000098;10000110;12000134;14000146;16000170;18000194;20000206;40000396;200026;400026;600026;800026;1000026;1200026;1400038;1600038;1800038;2000038;4000062;6000074;8000098;10000110;12000134;14000146;16000170;18000194;20000206;40000396
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatDiv;26449920;51296720;76143520;100990320;125837120;150683920;176332280;201179080;226025880;250872680;500943800;750213360;1000284480;1249554040;1499625160;1748894720;1998965840;2249036960;2498306520;4609337616;26449920;51296720;76143520;100990320;125837120;150683920;176332280;201179080;226025880;250872680;500943800;750213360;1000284480;1249554040;1499625160;1748894720;1998965840;2498306520;4995811480;26449920;51296720;76143520;100990320;125837120;150683920;176332280;201179080;226025880;250872680;500943800;750213360;1000284480;1249554040;1499625160;1748894720;1998965840;2249036960;2498306520;4995811480;26449920;51296720;76143520;100990320;125837120;150683920;176332280;201179080;226025880;250872680;500943800;750213360;1000284480;1249554040;1499625160;1748894720;1998965840;2249036960;2498306520;4995811480
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMisc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMult;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;5975500320;6721235520;7466970720;14930735200;22391293440;29855057920;37315616160;44779380640;52239938880;59703703360;67167467840;74628026080;1,43245E+11;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;5975500320;6721235520;7466970720;14930735200;22391293440;29855057920;37315616160;44779380640;52239938880;59703703360;74628026080;1,49253E+11;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;5975500320;6721235520;7466970720;14930735200;22391293440;29855057920;37315616160;44779380640;52239938880;59703703360;67167467840;74628026080;1,49253E+11;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;5975500320;6721235520;7466970720;14930735200;22391293440;29855057920;37315616160;44779380640;52239938880;59703703360;67167467840;74628026080;1,49253E+11
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMultAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatSqrt;4;4;4;4;4;4;6;6;6;6;10;12;16;18;22;24;28;32;34;66;4;4;4;4;4;4;6;6;6;6;10;12;16;18;22;24;28;34;66;4;4;4;4;4;4;6;6;6;6;10;12;16;18;22;24;28;32;34;66;4;4;4;4;4;4;6;6;6;6;10;12;16;18;22;24;28;32;34;66
system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAdd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAlu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceCmp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceAdd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceCmp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAesMix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdPredAlu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::MemRead;37680967;50681053;63681164;76681264;89681348;102681457;116985348;129985453;142985558;155985654;288594300;419899106;552507731;683812545;816421162;947725983;1080334619;1212943263;1344248081;3033831286;37821253;50821620;63821219;76821666;89821585;102822105;117125676;130125441;143125687;156125939;288734164;420039112;552647749;683952413;816561021;947865713;1080474474;1344388146;2665409374;39085307;53488831;67892181;82295678;96699268;111101523;126808547;141209539;155611692;170015592;316633932;461907762;608492999;753774334;900361120;1045638785;1192222356;1338804817;1484084931;2944707375;180291978;193292064;206292175;219292275;232292359;245292468;259596359;272596464;285596569;298596665;431205311;562510117;695118742;826423556;959032173;1090336994;1222945630;1355554274;1486859092;2679526107
system.cpu.exec_context.thread_0.statExecutedInstType::MemWrite;14316343;14316391;14316442;14316494;14316540;14316589;14318819;14318870;14318921;14318973;14323849;14326532;14331398;14334082;14338950;14341638;14346516;14351394;14354082;272515865;14414297;14414539;14414242;14414532;14414468;14414771;14416811;14416612;14416767;14416913;14421502;14424209;14429085;14431668;14436530;14439133;14444095;14451799;14599440;15296934;16276877;17256719;18236655;19216655;20195713;21177625;22155834;23134787;24114989;33901842;43652118;53408637;63162925;72920454;82672203;92427632;102182471;111936261;209509838;113994844;113994892;113994943;113994995;113995041;113995090;113997320;113997371;113997422;113997474;114002350;114005033;114009899;114012583;114017451;114020139;114025017;114029895;114032583;24466527
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemRead;1054625206;2034629276;3014633346;3994637416;4974641486;5954645556;6971959060;7951963130;8931967200;9911971270;19786630838;29623980972;39498640540;49335990674;59210650242;69048000376;78922659944;88797319512;98634669646;1,91266E+11;1054630078;2034634148;3014638218;3994642288;4974646358;5954650428;6971963932;7951968002;8931972072;9911976142;19786635710;29623985844;39498645412;49335995546;59210655114;69048005248;78922664816;98634674518;1,97232E+11;1054673926;2034726716;3014779506;3994832296;4974885086;5954937876;6972300100;7952352890;8932405680;9912458470;19787605238;29625442572;39500589340;49338426674;59213573442;69051410776;78926557544;88801704312;98639541646;1,97242E+11;1059497206;2039501276;3019505346;3999509416;4979513486;5959517556;6976831060;7956835130;8936839200;9916843270;19791502838;29628852972;39503512540;49340862674;59215522242;69052872376;78927531944;88802191512;98639541646;1,97233E+11
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemWrite;643853593;1215377593;1786901593;2358425593;2929949593;3501473593;4083700742;4655224742;5226748742;5798272742;11534919040;17260862189;22997508487;28723451636;34460097934;40186041083;45922687381;51659333679;57385276828;1,12133E+11;643855243;1215379243;1786903243;2358427243;2929951243;3501475243;4083702392;4655226392;5226750392;5798274392;11534920690;17260863839;22997510137;28723453286;34460099584;40186042733;45922689031;57385278478;1,14709E+11;643870093;1215410593;1786951093;2358491593;2930032093;3501572593;4083816242;4655356742;5226897242;5798437742;11535249040;17261357189;22998168487;28724276636;34461087934;40187196083;45924007381;51660818679;57386926828;1,14712E+11;645503593;1217027593;1788551593;2360075593;2931599593;3503123593;4085350742;4656874742;5228398742;5799922742;11536569040;17262512189;22999158487;28725101636;34461747934;40187691083;45924337381;51660983679;57386926828;1,14709E+11
system.cpu.exec_context.thread_0.statExecutedInstType::IprAccess;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::InstPrefetch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::total;6002475155;11399178057;16795881120;22192584111;27589286962;32985990001;38547711506;43944414532;49341117558;54737820576;1,09035E+11;1,63167E+11;2,17464E+11;2,71596E+11;3,25893E+11;3,80025E+11;4,34322E+11;4,88619E+11;5,42751E+11;1,04779E+12;6003654245;11400359120;16797058551;22193763989;27590465655;32987171781;38548890830;43945591572;49342295543;54738999749;1,09036E+11;1,63168E+11;2,17465E+11;2,71597E+11;3,25894E+11;3,80026E+11;4,34323E+11;5,42753E+11;1,08506E+12;6014276139;11422774169;16831270753;22239768451;27648266842;33056755913;38630270437;44038750532;49447239168;54855739836;1,09271E+11;1,6352E+11;2,17935E+11;2,72184E+11;3,26599E+11;3,80849E+11;4,35263E+11;4,89678E+11;5,43928E+11;1,08741E+12;7196752833;12593455735;17990158798;23386861789;28783564640;34180267679;39741989184;45138692210;50535395236;55932098254;1,10229E+11;1,64361E+11;2,18658E+11;2,7279E+11;3,27087E+11;3,81219E+11;4,35517E+11;4,89814E+11;5,43946E+11;1,08518E+12
system.cpu.interrupts.clk_domain.clock;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000
system.cpu.mmu.dtb.rdAccesses;1092306203;2085310359;3078314540;4071318710;5064322864;6057327043;7088944446;8081948621;9074952796;10067956961;20075225191;30043880139;40051148348;50019803304;60027071505;69995726468;80002994688;90010262916;99978917877;1,943E+11;1092451368;2085455805;3078459474;4071463991;5064467980;6057472570;7089089654;8082093489;9075097805;10068102126;20075369937;30044025028;40051293251;50019948058;60027216252;69995871087;80003139434;99979062836;1,99897E+11;1093759333;2088215717;3082671927;4077128284;5071584734;6066039849;7099109176;8093563028;9088018041;10082474800;20104240626;30087352499;40109085222;50092204600;60113938872;70097054580;80118785637;90140515584;1,00124E+11;2,00186E+11;1239796214;2232800370;3225804551;4218808721;5211812875;6204817054;7236434458;8229438633;9222442808;10215446973;20222715205;30191370154;40198638365;50167293322;60174561525;70143216489;80150484711;90157752941;1,00126E+11;1,99912E+11
system.cpu.mmu.dtb.wrAccesses;658169941;1229693989;1801218040;2372742092;2944266138;3515790187;4098019567;4669543618;5241067669;5812591721;11549242897;17275188730;23011839896;28737785730;34474436898;40200382736;45937033914;51673685092;57399630930;1,12405E+11;658269545;1229793787;1801317490;2372841780;2944365716;3515890019;4098119209;4669643010;5241167165;5812691311;11549342200;17275288057;23011939233;28737884966;34474536128;40200481881;45937133143;57399730297;1,14724E+11;659167032;1231687475;1804207817;2376728253;2949248753;3521768311;4104993873;4677512582;5250032035;5822552737;11569150890;17305009316;23051577135;28787439573;34534008402;40269868301;46016435030;51763001169;57498863109;1,14922E+11;759498442;1331022490;1902546541;2474070593;3045594639;3617118688;4199348068;4770872119;5342396170;5913920222;11650571398;17376517231;23113168397;28839114231;34575765399;40301711237;46038362415;51775013593;57500959431;1,14734E+11
system.cpu.mmu.dtb.rdMisses;718009;1241519;1765029;2288539;2812049;3335559;3909879;4433389;4956899;5480409;10817129;16103039;21439759;26725669;32062389;37348299;42685019;48021739;53307649;103341871;718021;1241531;1765041;2288551;2812061;3335571;3909891;4433401;4956911;5480421;10817141;16103051;21439771;26725681;32062401;37348311;42685031;53307661;106471626;718129;1241759;1765389;2289019;2812649;3336279;3910708;4434338;4957968;5481598;10819496;16106595;21444493;26731592;32069490;37356589;42694487;48032385;53319484;106495273;718009;1241519;1765029;2288539;2812049;3335559;3909879;4433389;4956899;5480409;10817129;16103039;21439759;26725669;32062389;37348299;42685019;48021739;53307649;106471614
system.cpu.mmu.dtb.wrMisses;1740971;3272521;4804071;6335621;7867171;9398721;10930273;12461823;13993373;15524923;30840427;46155929;61471433;76786935;92102439;107417941;122733445;138048949;153364451;304953483;1740972;3272522;4804072;6335622;7867172;9398722;10930274;12461824;13993374;15524924;30840428;46155930;61471434;76786936;92102440;107417942;122733446;153364452;306519488;1740981;3272541;4804101;6335661;7867221;9398781;10930342;12461902;13993462;15525022;30840624;46156225;61471827;76787428;92103030;107418631;122734233;138049835;153365436;306521456;1740971;3272521;4804071;6335621;7867171;9398721;10930273;12461823;13993373;15524923;30840427;46155929;61471433;76786935;92102439;107417941;122733445;138048949;153364451;306519487
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED;4,12231E+12;7,86754E+12;1,16128E+13;1,5358E+13;1,91032E+13;2,28484E+13;2,67038E+13;3,04491E+13;3,41943E+13;3,79395E+13;7,56121E+13;1,13175E+14;1,50847E+14;1,8841E+14;2,26082E+14;2,63645E+14;3,01317E+14;3,3899E+14;3,76552E+14;7,27204E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;1,13175E+14;1,50848E+14;1,8841E+14;2,26083E+14;2,63645E+14;3,01318E+14;3,76553E+14;7,52839E+14;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13384E+14;1,51126E+14;1,88758E+14;2,26501E+14;2,64133E+14;3,01875E+14;3,39617E+14;3,77249E+14;7,54231E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;3,11572E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14;1,51555E+14;1,89118E+14;2,2679E+14;2,64353E+14;3,02025E+14;3,39698E+14;3,7726E+14;7,52909E+14
system.cpu.mmu.itb.rdAccesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.mmu.itb.wrAccesses;6444474400;12364412975;18284351668;24204290305;30124228861;36044167538;42129329996;48049268662;53969207328;59889145983;1,19419E+11;1,78784E+11;2,38313E+11;2,97678E+11;3,57208E+11;4,16572E+11;4,76102E+11;5,35632E+11;5,94997E+11;1,14828E+12;6445311055;12365251127;18285187084;24205127572;30125065243;36045006155;42130166861;48050103739;53970043146;59889982653;1,1942E+11;1,78784E+11;2,38314E+11;2,97679E+11;3,57209E+11;4,16573E+11;4,76103E+11;5,94998E+11;1,18964E+12;6452848777;12381157032;18309464306;24237772366;30166080958;36094382435;42187912964;48116207695;54044508699;59972818956;1,19586E+11;1,79034E+11;2,38647E+11;2,98095E+11;3,57709E+11;4,17157E+11;4,7677E+11;5,36383E+11;5,95831E+11;1,1913E+12;7293090903;13213029478;19132968171;25052906808;30972845364;36892784041;42977946499;48897885165;54817823831;60737762486;1,20268E+11;1,79632E+11;2,39162E+11;2,98527E+11;3,58056E+11;4,17421E+11;4,76951E+11;5,36481E+11;5,95845E+11;1,18972E+12
system.cpu.mmu.itb.rdMisses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.mmu.itb.wrMisses;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;261;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;261;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;261
