feature_index,feature_name,gem5_component,feature_category,unit,description,included_in_raw_399,included_in_selected_file,selected_feature_file_count,spectre_relevance,raw_documentation_source,observed_in_raw_stats_files
25,system.cpu.exec_context.thread_0.numVecInsts,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of vector instructions,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
26,system.cpu.exec_context.thread_0.numIntRegReads,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the integer registers were read,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
27,system.cpu.exec_context.thread_0.numIntRegWrites,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the integer registers were written,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
28,system.cpu.exec_context.thread_0.numFpRegReads,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the floating registers were read,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
29,system.cpu.exec_context.thread_0.numFpRegWrites,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the floating registers were written,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
30,system.cpu.exec_context.thread_0.numVecRegReads,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the vector registers were read,yes,no,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
31,system.cpu.exec_context.thread_0.numVecRegWrites,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the vector registers were written,yes,no,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
32,system.cpu.exec_context.thread_0.numVecPredRegReads,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the predicate registers were read,yes,no,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
33,system.cpu.exec_context.thread_0.numVecPredRegWrites,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the predicate registers were written,yes,no,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
34,system.cpu.exec_context.thread_0.numCCRegReads,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the CC registers were read,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
35,system.cpu.exec_context.thread_0.numCCRegWrites,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the CC registers were written,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
36,system.cpu.exec_context.thread_0.numMiscRegReads,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the Misc registers were read,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
37,system.cpu.exec_context.thread_0.numMiscRegWrites,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times the Misc registers were written,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
38,system.cpu.exec_context.thread_0.numMemRefs,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of memory refs,yes,yes,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
39,system.cpu.exec_context.thread_0.numLoadInsts,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of load instructions,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
40,system.cpu.exec_context.thread_0.numStoreInsts,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of store instructions,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
41,system.cpu.exec_context.thread_0.numIdleCycles,system.cpu.exec_context,CPU execution and instruction mix,Cycle,Number of idle cycles,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
42,system.cpu.exec_context.thread_0.numBusyCycles,system.cpu.exec_context,Interconnect and memory bus,Cycle,Number of busy cycles,yes,yes,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
43,system.cpu.exec_context.thread_0.notIdleFraction,system.cpu.exec_context,CPU execution and instruction mix,Ratio,Percentage of non-idle cycles,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
44,system.cpu.exec_context.thread_0.idleFraction,system.cpu.exec_context,CPU execution and instruction mix,Ratio,Percentage of idle cycles,yes,no,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
45,system.cpu.exec_context.thread_0.numBranches,system.cpu.exec_context,Branch prediction and control flow,Count,Number of branches fetched,yes,yes,127,High: speculative control-flow behavior can change during Spectre execution.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
46,system.cpu.exec_context.thread_0.statExecutedInstType::No_OpClass,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
47,system.cpu.exec_context.thread_0.statExecutedInstType::IntAlu,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
48,system.cpu.exec_context.thread_0.statExecutedInstType::IntMult,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
49,system.cpu.exec_context.thread_0.statExecutedInstType::IntDiv,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
50,system.cpu.exec_context.thread_0.statExecutedInstType::FloatAdd,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
51,system.cpu.exec_context.thread_0.statExecutedInstType::FloatCmp,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
52,system.cpu.exec_context.thread_0.statExecutedInstType::FloatCvt,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
53,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMult,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
54,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMultAcc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
55,system.cpu.exec_context.thread_0.statExecutedInstType::FloatDiv,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
56,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMisc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
57,system.cpu.exec_context.thread_0.statExecutedInstType::FloatSqrt,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
58,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAdd,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
59,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAddAcc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
60,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAlu,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
61,system.cpu.exec_context.thread_0.statExecutedInstType::SimdCmp,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
62,system.cpu.exec_context.thread_0.statExecutedInstType::SimdCvt,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
63,system.cpu.exec_context.thread_0.statExecutedInstType::SimdMisc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
64,system.cpu.exec_context.thread_0.statExecutedInstType::SimdMult,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
65,system.cpu.exec_context.thread_0.statExecutedInstType::SimdMultAcc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
66,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShift,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
67,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShiftAcc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
68,system.cpu.exec_context.thread_0.statExecutedInstType::SimdDiv,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
69,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSqrt,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
70,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAdd,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
71,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAlu,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
72,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCmp,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
73,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCvt,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
74,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatDiv,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
75,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMisc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
76,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMult,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
77,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMultAcc,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
78,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatSqrt,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
79,system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAdd,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
80,system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAlu,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
81,system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceCmp,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
82,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceAdd,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
83,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceCmp,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
84,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAes,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
85,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAesMix,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
86,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
87,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash2,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
88,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
89,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash2,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
90,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma2,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
91,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma3,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
92,system.cpu.exec_context.thread_0.statExecutedInstType::SimdPredAlu,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
93,system.cpu.exec_context.thread_0.statExecutedInstType::MemRead,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
94,system.cpu.exec_context.thread_0.statExecutedInstType::MemWrite,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
95,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemRead,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
96,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemWrite,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
97,system.cpu.exec_context.thread_0.statExecutedInstType::IprAccess,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
98,system.cpu.exec_context.thread_0.statExecutedInstType::InstPrefetch,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
99,system.cpu.exec_context.thread_0.statExecutedInstType::total,system.cpu.exec_context,CPU execution and instruction mix,Count,Class of executed instruction,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
100,system.cpu.interrupts.clk_domain.clock,system.cpu.interrupts,"Clock, voltage, and power state",Tick,Clock period in ticks,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
